Animal ID,,Clutch.ID,Tank.ID,Date.eggs.hatched,Year,Stocking.density,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,914,Rcap2,2,2/25/11,2011,100,3/11/11,6/5/11,,2.86,C05,tail nub
Rcap-,938,Rcap2,2,2/25/11,2011,100,3/11/11,6/6/11,,3.02,C24,tail nub
Rcap-,939,Rcap2,2,2/25/11,2011,100,3/11/11,6/6/11,,2.91,C25,
Rcap-,940,Rcap2,2,2/25/11,2011,100,3/11/11,6/6/11,,2.7,C27,small tail remaining
Rcap-,969,Rcap2,2,2/25/11,2011,100,3/11/11,6/7/11,,2.92,2300,
Rcap-,970,Rcap2,2,2/25/11,2011,100,3/11/11,6/7/11,,2.66,2300,
Rcap-,971,Rcap2,2,2/25/11,2011,100,3/11/11,6/7/11,,3.11,2300,
Rcap-,1005,Rcap2,2,2/25/11,2011,100,3/11/11,6/8/11,,3.16,2300,tail nub
Rcap-,1006,Rcap2,2,2/25/11,2011,100,3/11/11,6/8/11,,3.42,2300,
Rcap-,1007,Rcap2,2,2/25/11,2011,100,3/11/11,6/8/11,,2.94,2300,
Rcap-,1008,Rcap2,2,2/25/11,2011,100,3/11/11,6/8/11,,2.96,2300,tail nub
Rcap-,1033,Rcap2,2,2/25/11,2011,100,3/11/11,6/9/11,,2.57,2300,
Rcap-,1034,Rcap2,2,2/25/11,2011,100,3/11/11,6/9/11,,3.05,2300,
Rcap-,1035,Rcap2,2,2/25/11,2011,100,3/11/11,6/9/11,,3.1,2300,
Rcap-,1036,Rcap2,2,2/25/11,2011,100,3/11/11,6/9/11,,3.55,2300,tail nub
Rcap-,1065,Rcap2,2,2/25/11,2011,100,3/11/11,6/10/11,,3.01,2300,
Rcap-,1066,Rcap2,2,2/25/11,2011,100,3/11/11,6/10/11,,2.67,2300,small tail
Rcap-,1088,Rcap2,2,2/25/11,2011,100,3/11/11,6/11/11,,4.15,2300,short tail
Rcap-,1089,Rcap2,2,2/25/11,2011,100,3/11/11,6/11/11,,3.38,2300,tail nub
Rcap-,1090,Rcap2,2,2/25/11,2011,100,3/11/11,6/11/11,,2.55,2300,tail nub
Rcap-,1091,Rcap2,2,2/25/11,2011,100,3/11/11,6/11/11,,3.47,2300,short tail
Rcap-,1092,Rcap2,2,2/25/11,2011,100,3/11/11,6/11/11,,3.58,2300,short tail
