Species,Species.ID,Tank.ID,Mass.g.metamorphosed,Date.metamorphosed,Date.eggs.hatched,Clutch.ID,Stocking.density,Date.stocked,Days.to.metamorphosis,Fate.comments,Year
Rcapito,409,5,4.87,6/26/20,2/20/20,W2,60,3/6/20,,"pulled 6/26/20, weighed 6/28/20",2020
Rcapito,440,5,4.56,6/30/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,442,5,3.63,6/30/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,501,5,4.1,6/28/20,2/20/20,W2,60,3/6/20,,"pulled 6/28/20, weighed 6/30/20",2020
Rcapito,562,5,4.62,7/2/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,563,5,4.5,7/2/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,564,5,4.13,7/2/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,565,5,3.48,7/2/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,621,5,4.22,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,638,5,2.92,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,639,5,4.86,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,640,5,3.09,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,694,5,3.8,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,695,5,3.64,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,696,5,3.59,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,697,5,3.65,7/4/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,710,5,3.72,7/4/20,2/20/20,W2,60,3/6/20,,"pulled w/tail, weighed 7/6/20",2020
Rcapito,712,5,4.5,7/4/20,2/20/20,W2,60,3/6/20,,"pulled w/tail, weighed 7/6/20",2020
Rcapito,748,5,3.42,7/6/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,749,5,4.99,7/6/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,750,5,3.53,7/6/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,751,5,4.41,7/6/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,783,5,4.22,7/8/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,784,5,3.98,7/8/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,785,5,3.88,7/8/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,830,5,3.96,7/10/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,917,5,4.51,7/14/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,954,5,3.5,7/16/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,955,5,5.97,7/16/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,956,5,6.07,7/16/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,45,6,3.95,6/16/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,46,6,4.36,6/16/20,2/20/20,W1a,75,3/6/20,,tads from w1a looked lethargic in their aquaria,2020
Rcapito,47,6,4.55,6/16/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,48,6,3.39,6/16/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,49,6,3.56,6/16/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,91,6,4.31,6/20/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,92,6,5.01,6/20/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,115,6,3.54,6/22/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,116,6,4.26,6/22/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,117,6,4.18,6/22/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,118,6,4.77,6/22/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,204,6,4.26,6/24/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,205,6,3.7,6/24/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,206,6,5.04,6/24/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,207,6,4.76,6/24/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,208,6,4.11,6/24/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,209,6,3.62,6/24/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,283,6,3.39,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,284,6,4.78,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,285,6,4.28,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,286,6,3.55,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,287,6,3.82,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,288,6,3.17,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,289,6,4.28,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,290,6,4.48,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,291,6,4.09,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,292,6,3.85,6/26/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,343,6,3.42,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,344,6,2.87,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,345,6,3.39,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,346,6,3.35,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,395,6,2.83,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,396,6,4.01,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,397,6,3.75,6/28/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,438,6,4.01,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,443,6,3.81,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,444,6,3.19,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,445,6,3.56,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
Rcapito,446,6,4.01,6/30/20,2/20/20,W1a,75,3/6/20,,,2020
