"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis","Surv.prop"
"2009",2009-06-16,"2.65",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.22",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.2",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.11",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.14",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.72",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.25",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.67",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-17,NA,"found dead 1/2 tail resorbed","Rcap1",2009-03-09,NA,106,"2",100,NA
"2009",2009-06-18,"2.31",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.51",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.65",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.64",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.16",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.59",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"3.18",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-19,"2.94",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"2.75",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"3.05",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"3.38",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"3.35",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"2.93",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"2.78",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-19,"2.69",NA,"Rcap1",2009-03-09,NA,106,"2",102,NA
"2009",2009-06-20,"3.43",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.71",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.54",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.19",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.89",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.3",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"3.49",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.73",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.34",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.39",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-20,"2.57",NA,"Rcap1",2009-03-09,NA,106,"2",103,NA
"2009",2009-06-22,"2.91",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"3.44",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"2.25",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"1.95",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"3",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"2.08",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"2.63",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,"2.45",NA,"Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,NA,"found dead, fully, freshly transformed - preserved for SCWDS","Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,NA,"found dead, fully, transformed - preserved for SCWDS","Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,NA,"metamorphosed abnormal - preserved for SCWDS","Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,NA,"metamorphosed abnormal - preserved for SCWDS","Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-22,NA,"metamorphosed abnormal - preserved for SCWDS","Rcap1",2009-03-09,NA,106,"2",105,NA
"2009",2009-06-23,NA,"found floating, abnormal gularr and spinal morphology","Rcap1",2009-03-09,NA,106,"2",106,NA
"2009",2009-06-26,"2.13",NA,"Rcap1",2009-03-09,NA,106,"2",109,NA
"2009",2009-06-26,"2.35",NA,"Rcap1",2009-03-09,NA,106,"2",109,NA
"2009",2009-06-26,"2.55",NA,"Rcap1",2009-03-09,NA,106,"2",109,NA
"2009",2009-06-26,"2.11",NA,"Rcap1",2009-03-09,NA,106,"2",109,NA
"2009",2009-06-26,"3.06",NA,"Rcap1",2009-03-09,NA,106,"2",109,NA
"2009",2009-06-27,"2.45","blood work - survived to release","Rcap1",2009-03-09,NA,106,"2",110,NA
"2009",2009-06-27,"1.95","blood work - survived to release","Rcap1",2009-03-09,NA,106,"2",110,NA
"2009",2009-06-27,"2.46","malformation at rear right foot - survived to release","Rcap1",2009-03-09,NA,106,"2",110,NA
"2009",2009-06-27,"2.32","tail nub when weighed - survived to release","Rcap1",2009-03-09,NA,106,"2",110,NA
"2009",2009-06-27,"2.41",NA,"Rcap1",2009-03-09,NA,106,"2",110,NA
"2009",2009-06-28,"2.28",NA,"Rcap1",2009-03-09,NA,106,"2",111,NA
"2009",2009-06-30,"2.31","tail nub","Rcap1",2009-03-09,NA,106,"2",113,NA
"2009",2009-06-30,"1.98",NA,"Rcap1",2009-03-09,NA,106,"2",113,NA
"2009",2009-07-03,"2.7",NA,"Rcap1",2009-03-09,NA,106,"2",116,NA
"2009",2009-07-08,"2.09",NA,"Rcap1",2009-03-09,NA,106,"2",121,NA
"2009",2009-07-09,"2.16",NA,"Rcap1",2009-03-09,NA,106,"2",122,NA
"2009",2009-07-09,"2.07",NA,"Rcap1",2009-03-09,NA,106,"2",122,NA
"2009",2009-07-09,"2.33",NA,"Rcap1",2009-03-09,NA,106,"2",122,NA
"2009",2009-07-13,"2.19",NA,"Rcap1",2009-03-09,NA,106,"2",126,NA
"2009",2009-07-16,"2.61",NA,"Rcap1",2009-03-09,NA,106,"2",129,NA
"2009",2009-07-19,"2.5",NA,"Rcap1",2009-03-09,NA,106,"2",132,NA
"2009",2009-06-10,"2.46",NA,"Rcap1",2009-03-09,NA,104,"3",93,NA
"2009",2009-06-10,"4.3","Andy took blood","Rcap1",2009-03-09,NA,104,"3",93,NA
"2009",2009-06-10,"4.48","Andy took blood","Rcap1",2009-03-09,NA,104,"3",93,NA
"2009",2009-06-10,"3.31",NA,"Rcap1",2009-03-09,NA,104,"3",93,NA
"2009",2009-06-10,"2.19",NA,"Rcap1",2009-03-09,NA,104,"3",93,NA
"2009",2009-06-10,"4.92",NA,"Rcap1",2009-03-09,NA,104,"3",93,NA
"2009",2009-06-11,"3.51",NA,"Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-11,"4.54","Andy took blood","Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-11,"2.74","Andy took blood","Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-11,"3.45",NA,"Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-11,"3.29",NA,"Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-11,"2.92",NA,"Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-11,"4.13",NA,"Rcap1",2009-03-09,NA,104,"3",94,NA
"2009",2009-06-12,"3.43","Andy took blood - dead on 7/1 hemorrhage tissue on thigh","Rcap1",2009-03-09,NA,104,"3",95,NA
"2009",2009-06-12,"3.34",NA,"Rcap1",2009-03-09,NA,104,"3",95,NA
"2009",2009-06-12,"3.44",NA,"Rcap1",2009-03-09,NA,104,"3",95,NA
"2009",2009-06-12,"3.57",NA,"Rcap1",2009-03-09,NA,104,"3",95,NA
"2009",2009-06-12,"3.02","Andy took blood","Rcap1",2009-03-09,NA,104,"3",95,NA
"2009",2009-06-12,"4",NA,"Rcap1",2009-03-09,NA,104,"3",95,NA
