"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis"
"2011","6/8/11","4.37","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/8/11","3.99","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/8/11","4.61","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/9/11","3.61",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/9/11","4.4",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/10/11","3.49","small tail","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/12/11","3.87","small tail","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/12/11","3.14",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/12/11","4.52",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/13/11","3.97",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/13/11","4.32",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/14/11","4.15",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/14/11","4.05",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/15/11","3.89",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/15/11","4.08",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","4.16",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","3.67",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","5.03",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","9.71","bloated one we noticed 6/17, giving to SCWDS","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","3.92",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","4.73",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","4.87",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/21/11","3.77",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/23/11","5.3",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/23/11","5.96",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/24/11","5.28",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/24/11","5.23","tail nub","Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/27/11","4.48",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
"2011","6/27/11","4.55",NA,"Rcap3","3/11/11","2/25/11","100","3",NA
