Species,AnimalID#,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,2529,NA,2/25/13,2,100,2013,3/7/13,6/28/13,113,4.53,2500,,not applicable
Rcap-,2525,NA,2/25/13,3,100,2013,3/7/13,6/28/13,113,3.06,2500,tail nub,not applicable
Rcap-,2526,NA,2/25/13,3,100,2013,3/7/13,6/28/13,113,3.53,2500,,not applicable
Rcap-,2523,NA,2/25/13,4,100,2013,3/7/13,6/28/13,113,3.63,2500,,not applicable
Rcap-,2524,NA,2/25/13,4,100,2013,3/7/13,6/28/13,113,2.71,2500,,not applicable
Rcap-,2530,NA,2/25/13,5,100,2013,3/7/13,6/28/13,113,3.86,2500,,not applicable
Rcap-,2531,NA,2/25/13,5,100,2013,3/7/13,6/28/13,113,3.49,2500,,not applicable
Rcap-,2532,NA,2/25/13,5,100,2013,3/7/13,6/28/13,113,3.91,2500,,not applicable
Rcap-,2533,NA,2/25/13,5,100,2013,3/7/13,6/28/13,113,2.88,2500,,not applicable
Rcap-,2534,NA,2/25/13,5,100,2013,3/7/13,6/28/13,113,3.78,2500,,not applicable
Rcap-,2535,NA,2/25/13,5,100,2013,3/7/13,6/28/13,113,3.44,2500,,not applicable
Rcap-,2545,NA,2/25/13,6,100,2013,3/7/13,6/28/13,113,3.9,2500,,not applicable
Rcap-,2536,NA,2/25/13,7,100,2013,3/7/13,6/28/13,113,4.86,2500,,not applicable
Rcap-,2537,NA,2/25/13,7,100,2013,3/7/13,6/28/13,113,5.19,2500,,not applicable
Rcap-,2538,NA,2/25/13,7,100,2013,3/7/13,6/28/13,113,5.25,2500,,not applicable
Rcap-,2539,NA,2/25/13,7,100,2013,3/7/13,6/28/13,113,4.43,2500,,not applicable
Rcap-,2540,NA,2/25/13,7,100,2013,3/7/13,6/28/13,113,4.51,2500,,not applicable
Rcap-,2520,NA,2/25/13,9,100,2013,3/7/13,6/28/13,113,4.41,2500,,not applicable
Rcap-,2521,NA,2/25/13,9,100,2013,3/7/13,6/28/13,113,3.88,2500,,not applicable
Rcap-,2522,NA,2/25/13,9,100,2013,3/7/13,6/28/13,113,5.16,2500,,not applicable
Rcap-,2546,NA,2/25/13,11,145,2013,3/7/13,6/28/13,113,4.56,2500,,not applicable
Rcap-,2518,NA,2/25/13,1,100,2013,3/7/13,6/27/13,112,4.06,2500,,not applicable
Rcap-,2519,NA,2/25/13,1,100,2013,3/7/13,6/27/13,112,5.01,2500,,not applicable
Rcap-,2481,NA,2/25/13,1,100,2013,3/7/13,6/26/13,111,4.34,2500,,not applicable
Rcap-,2482,NA,2/25/13,1,100,2013,3/7/13,6/26/13,111,4.27,2500,,not applicable
Rcap-,2483,NA,2/25/13,1,100,2013,3/7/13,6/26/13,111,3.67,2500,,not applicable
Rcap-,2500,NA,2/25/13,2,100,2013,3/7/13,6/26/13,111,3.22,2500,,not applicable
Rcap-,2501,NA,2/25/13,4,100,2013,3/7/13,6/26/13,111,3.24,2500,,not applicable
Rcap-,2504,NA,2/25/13,4,100,2013,3/7/13,6/26/13,111,3.63,2500,,not applicable
Rcap-,2505,NA,2/25/13,4,100,2013,3/7/13,6/26/13,111,3.42,2500,,not applicable
Rcap-,2506,NA,2/25/13,4,100,2013,3/7/13,6/26/13,111,3.08,2500,,not applicable
Rcap-,2491,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.14,2500,,not applicable
Rcap-,2492,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.2,2500,,not applicable
Rcap-,2493,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.48,2500,,not applicable
Rcap-,2494,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.29,2500,,not applicable
Rcap-,2495,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.08,2500,,not applicable
Rcap-,2496,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.2,2500,,not applicable
Rcap-,2497,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.31,2500,,not applicable
Rcap-,2498,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,2.57,2500,,not applicable
Rcap-,2499,NA,2/25/13,5,100,2013,3/7/13,6/26/13,111,3.61,2500,fresh dead metamorph,not applicable
Rcap-,2484,NA,2/25/13,6,100,2013,3/7/13,6/26/13,111,3.76,2500,,not applicable
Rcap-,2507,NA,2/25/13,8,100,2013,3/7/13,6/26/13,111,4.17,2500,,not applicable
Rcap-,2508,NA,2/25/13,8,100,2013,3/7/13,6/26/13,111,3.9,2500,,not applicable
Rcap-,2509,NA,2/25/13,8,100,2013,3/7/13,6/26/13,111,3.86,2500,,not applicable
Rcap-,2510,NA,2/25/13,8,100,2013,3/7/13,6/26/13,111,3.76,2500,,not applicable
Rcap-,2511,NA,2/25/13,8,100,2013,3/7/13,6/26/13,111,4.12,2500,,not applicable
Rcap-,2512,NA,2/25/13,9,100,2013,3/7/13,6/26/13,111,2.96,2500,,not applicable
Rcap-,2513,NA,2/25/13,9,100,2013,3/7/13,6/26/13,111,2.93,2500,,not applicable
Rcap-,2514,NA,2/25/13,9,100,2013,3/7/13,6/26/13,111,3.27,2500,,not applicable
